timestamp,x,y
1737953371.6831174,299,174
1737953371.749419,380,179
1737953371.7592025,298,174
1737953371.8192937,380,178
1737953371.8192937,298,175
1737953371.824954,297,175
1737953371.8896286,298,175
1737953371.8896286,380,178
1737953371.8896286,380,178
1737953371.9589248,299,174
1737953371.9589248,381,179
1737953371.9589248,298,174
1737953372.0092354,380,179
1737953372.0092354,299,174
1737953372.0190563,298,174
1737953372.079246,381,179
1737953372.0843687,299,175
1737953372.1444578,380,179
1737953372.1444578,299,174
1737953372.1444578,380,178
1737953372.2027466,298,175
1737953372.2038677,380,178
1737953372.2692137,298,174
1737953372.2692137,380,178
1737953372.3421917,380,178
1737953372.3432367,298,174
1737953372.397296,380,180
1737953372.398291,298,175
1737953372.4492764,297,177
1737953372.4492764,379,181
1737953372.4899943,378,180
1737953372.5361435,378,180
1737953372.588236,270,131
1737953372.5892599,378,181
1737953372.6373944,374,183
1737953372.6889825,380,181
1737953372.7390783,381,181
1737953372.8124173,381,180
1737953372.8134232,296,177
1737953372.8699846,380,180
1737953372.870129,296,177
1737953372.9391105,380,180
1737953372.9401317,297,176
1737953373.0089092,379,180
1737953373.009916,294,177
1737953373.073268,380,180
1737953373.074068,297,176
1737953373.1403935,379,179
1737953373.1403935,294,176
1737953373.2174678,379,179
1737953373.2191098,293,176
1737953373.2694395,293,176
1737953373.2694395,379,180
1737953373.2694395,379,180
1737953373.3340747,378,179
1737953373.33515,296,175
1737953373.3801053,296,174
1737953373.3801053,377,178
1737953373.4262602,376,179
1737953373.4707124,267,134
1737953373.51889,373,181
1737953373.5821037,376,179
1737953373.5821037,375,179
1737953373.6664076,294,176
1737953373.6672778,374,180
1737953373.7390006,293,178
1737953373.7390006,374,181
1737953373.8297243,291,179
1737953373.8297243,372,181
1737953373.8297243,238,182
1737953373.9255743,238,182
1737953373.9282324,289,178
1737953373.9282324,370,182
1737953374.0056355,290,177
1737953374.0056355,371,180
1737953374.0056355,238,180
1737953374.1091359,290,177
1737953374.1091359,371,179
1737953374.1894443,290,176
1737953374.1945703,371,179
1737953374.2629995,289,177
1737953374.2639935,237,182
1737953374.2649992,371,180
1737953374.3394265,290,177
1737953374.3394265,371,179
1737953374.4135313,290,176
1737953374.4146352,371,179
1737953374.4892352,291,174
1737953374.4892352,373,179
1737953374.5597608,292,174
1737953374.5643766,373,179
1737953374.6458743,292,175
1737953374.6458743,373,179
1737953374.6488843,291,174
1737953374.7093847,372,183
1737953374.774227,374,182
1737953374.774227,369,182
1737953374.8393805,374,180
1737953374.8393805,291,179
1737953374.8393805,291,179
1737953374.9205284,293,175
1737953374.9205284,374,179
1737953374.921553,242,183
1737953374.9226258,292,176
1737953374.9860706,293,176
1737953374.9860706,375,179
1737953374.9860706,293,177
1737953375.0493653,375,179
1737953375.0518804,294,176
1737953375.0518804,294,177
1737953375.1142244,375,180
1737953375.1142244,294,177
1737953375.115842,294,177
1737953375.1844902,375,180
1737953375.1891665,294,177
1737953375.1891665,294,177
1737953375.2431443,244,182
1737953375.2494078,380,181
1737953375.2494078,298,175
1737953375.2494078,297,175
1737953375.3291602,297,174
1737953375.3291602,380,180
1737953375.3792017,378,179
1737953375.3843021,298,175
1737953375.3854165,298,175
1737953375.4614058,378,179
1737953375.4614058,263,151
1737953375.4614058,286,170
1737953375.5390475,298,174
1737953375.5390475,378,178
1737953375.6095738,352,222
1737953375.6141343,380,176
1737953375.6141343,300,171
1737953375.6735885,380,176
1737953375.6735885,300,172
1737953375.6735885,300,173
1737953375.7529333,353,222
1737953375.7529333,380,176
1737953375.7529333,301,171
1737953375.832751,300,173
1737953375.832751,381,178
1737953375.8990898,380,178
1737953375.8990898,300,174
1737953375.9622753,299,173
1737953375.9622753,379,177
1737953375.9622753,298,173
1737953376.0291622,298,174
1737953376.0291622,378,178
1737953376.0291622,297,174
1737953376.0898695,298,173
1737953376.0898695,378,179
1737953376.1774518,271,132
1737953376.1790366,378,179
1737953376.1799946,297,174
1737953376.2450588,379,180
1737953376.2450588,298,176
1737953376.3218162,379,180
1737953376.3229847,298,175
1737953376.3890495,293,177
1737953376.3899603,377,181
1737953376.4390383,377,181
1737953376.4390383,293,177
1737953376.4993963,377,182
1737953376.4993963,293,177
1737953376.5592349,377,182
1737953376.5592349,293,177
1737953376.6494365,379,181
1737953376.6494365,298,177
1737953376.6494365,297,177
1737953376.7234316,298,176
1737953376.7243378,379,180
1737953376.7892432,378,180
1737953376.7892432,297,176
1737953376.8693616,297,176
1737953376.8693616,378,179
1737953376.9394557,297,176
1737953376.9394557,378,179
1737953377.012686,376,180
1737953377.0136738,292,177
1737953377.0776606,292,177
1737953377.079272,376,180
1737953377.1493504,380,181
1737953377.1493504,299,177
1737953377.2094197,300,177
1737953377.2094197,380,181
1737953377.2594833,300,177
1737953377.2594833,380,181
1737953377.3130732,300,177
1737953377.3140695,380,181
1737953377.3703506,298,177
1737953377.3703506,379,181
1737953377.4392986,298,177
1737953377.4392986,379,181
1737953377.4401307,298,177
1737953377.5302312,298,177
1737953377.5312471,379,181
1737953377.587739,298,178
1737953377.589271,379,180
1737953377.665408,379,180
1737953377.665408,298,177
1737953377.709053,379,181
1737953377.709053,298,178
1737953377.7654727,298,177
1737953377.7691898,378,181
1737953377.8261607,379,181
1737953377.8270538,298,177
1737953377.9117935,298,177
1737953377.9127934,379,181
1737953377.9754977,379,181
1737953377.9764962,298,177
1737953378.0346985,379,181
1737953378.035595,298,178
1737953378.0931194,379,180
1737953378.0941217,298,176
1737953378.174458,298,176
1737953378.174458,379,181
1737953378.2341626,293,178
1737953378.2341626,377,180
1737953378.2993767,376,181
1737953378.299589,293,178
1737953378.359205,292,178
1737953378.359205,376,181
1737953378.364379,292,177
1737953378.4238405,376,182
1737953378.424843,292,178
1737953378.4257927,292,177
1737953378.5129375,292,178
1737953378.513946,376,181
1737953378.579903,376,181
1737953378.58102,292,178
1737953378.6277065,292,178
1737953378.6295285,376,181
1737953378.6804247,292,178
1737953378.6814377,376,180
1737953378.682439,292,177
1737953378.773416,376,181
1737953378.773416,293,177
1737953378.773416,292,177
1737953378.8719969,380,180
1737953378.8727553,299,176
1737953378.8727553,299,176
1737953378.9411201,381,180
1737953378.942255,300,176
1737953379.027194,381,180
1737953379.027194,299,176
1737953379.0292664,299,176
1737953379.088992,381,180
1737953379.0891569,300,177
1737953379.172501,381,180
1737953379.172501,300,177
1737953379.2604308,381,181
